,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
5764,TIPARP,ENSG00000163659,-1.43285108892623,9.53574515428387e-17,-0.895834019505417,8.88219677285392e-10,trans,Towards UnRx,Pt5,X10,1
5765,TJP3,ENSG00000105289,-0.507611361716198,0.000261696244099375,-0.333177211477319,0.0139124286922337,trans,Towards UnRx,Pt5,X10,1
5766,TK1,ENSG00000167900,1.03477628439424,3.72003010503789e-09,0.682721511509054,2.89097677320816e-06,trans,Towards UnRx,Pt5,X10,1
5767,TLE2,ENSG00000065717,-0.706601782124734,4.48331772823016e-06,-0.438177490467333,0.000712981888638893,trans,Towards UnRx,Pt5,X10,1
5768,TLE3,ENSG00000140332,0.794507851250279,9.95374072559523e-07,0.138360312835182,0.462498899172877,trans,Towards UnRx,Pt5,X10,1
5769,TLK2,ENSG00000146872,0.659493577995739,1.66850827808822e-06,0.399600623407313,0.000258837287299752,trans,Towards UnRx,Pt5,X10,1
5770,TLR6,ENSG00000174130,0.578418504057913,0.0017055479474821,0.359046272591776,0.0126868126423755,trans,Towards UnRx,Pt5,X10,1
5771,TM2D2,ENSG00000169490,0.685626125439909,1.34329945809344e-09,0.64671714280888,2.71226380023754e-12,cis,Towards UnRx,Pt5,X10,1
5772,TM4SF18,ENSG00000163762,-1.00928178213459,7.08611195411267e-14,-0.430229409647233,0.000451008015664918,trans,Towards UnRx,Pt5,X10,1
5773,TM7SF3,ENSG00000064115,-0.62061735913398,3.00831153504285e-06,-0.0415853342241513,0.977544878808784,trans,Towards UnRx,Pt5,X10,1
5774,TM9SF2,ENSG00000125304,0.614674625355166,1.35179397059685e-13,0.364848640452943,1.1362645340867e-07,cis,Towards UnRx,Pt5,X10,1
5775,TMBIM4,ENSG00000155957,0.524529359608643,3.13608254327018e-06,0.558522026525432,3.9064589036764e-10,trans,Towards UnRx,Pt5,X10,1
5776,TMCO3,ENSG00000150403,0.622634612127784,1.44956488055051e-08,0.156462228011175,0.0851698360960025,cis,Towards UnRx,Pt5,X10,1
5777,TMED2,ENSG00000086598,-0.504594715761883,1.51333306957186e-07,0.085498760742964,0.401237676493429,trans,Away from UnRx,Pt5,X10,1
5778,TMEM106B,ENSG00000106460,-0.605809960613699,8.74829063386967e-07,-0.706436663358218,3.12195327409368e-12,cis,Towards UnRx,Pt5,X10,1
5779,TMEM109,ENSG00000110108,0.566371440016321,5.44257235813185e-07,0.533479897084881,4.15946362701506e-10,trans,Towards UnRx,Pt5,X10,1
5780,TMEM116,ENSG00000198270,-0.618920933091962,0.00108909698808463,-0.0833569820625145,0.68417490385879,trans,Towards UnRx,Pt5,X10,1
5781,TMEM136,ENSG00000181264,0.717084869047182,1.55946053956695e-05,0.885861057871901,1.44243751728393e-12,trans,Towards UnRx,Pt5,X10,1
5782,TMEM141,ENSG00000244187,0.707721669394442,3.10514834484399e-16,0.256036529811426,0.000754914551568319,trans,Towards UnRx,Pt5,X10,1
5783,TMEM159,ENSG00000011638,0.539256822509129,0.000245296813428443,-0.0923895688491205,0.531300015367049,cis,Away from UnRx,Pt5,X10,1
5784,TMEM182,ENSG00000170417,-0.695354541122563,0.000282142594284115,-0.203564572721945,0.25285781967982,trans,Towards UnRx,Pt5,X10,1
5785,TMEM184A,ENSG00000164855,-0.63906100524658,5.68479382142471e-05,-1.05239318972182,6.05748557104024e-15,cis,Towards UnRx,Pt5,X10,1
5786,TMEM187,ENSG00000177854,-0.772381519790587,6.09824078190089e-06,0.316942269952891,0.024887487972231,cis,Away from UnRx,Pt5,X10,1
5787,TMEM191B,ENSG00000278558,0.630908314012748,0.000301183560317599,0.975465466977073,1.33914694539341e-12,trans,Towards UnRx,Pt5,X10,1
