gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,F,G,H,I,J,ct,col,label,color
ADGRG1,1.02360804788869,6.3647705879376,45.6502225543917,4.85042156578543e-11,1.10919538852098e-09,ENSG00000205336,-0.114657286169263,7.01798098404659,0.939664530934217,0.332631882418992,0.464959671364003,ENSG00000205336,2,5,5,1,NA,NA,2,1,1,1,trans,FALSE,Away from UnRx trans,coral2
ADGRG6,0.76052474745177,5.9326675072799,18.5298944616955,0.000134040530498535,0.000724043872776859,ENSG00000112414,0.614273538243323,6.4845157263807,21.0575231127103,9.44132647397729e-05,0.000510377196993253,ENSG00000112414,2,1,1,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
ADPRHL2,-0.509937350570188,6.8201931757113,17.0344752661759,4.44608404679769e-05,0.000274754576554507,ENSG00000116863,-0.645910270758246,7.25840693466354,35.7076605250222,3.33335324047603e-09,4.86924027555338e-08,ENSG00000116863,3,4,4,4,3,4,4,4,NA,3,cis,TRUE,Towards UnRx cis,deepskyblue4
ADRM1,-0.620465525386924,7.25120049546391,33.5888671501906,1.35692271646034e-08,1.91628114033035e-07,ENSG00000130706,-0.382656143787798,7.46393085418949,15.438281986217,9.19596294239336e-05,0.00049907528889858,ENSG00000130706,3,2,2,3,3,3,3,NA,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
AGAP2-AS1,-0.625045789654203,6.25275351884686,15.1422367979889,0.000116285055516577,0.000639066252470221,ENSG00000255737,-0.509009203666165,6.73161361257681,13.0327560356612,0.000323686754772095,0.00149542968114892,ENSG00000255737,3,2,2,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
AGPAT1,-0.790075021350906,6.18673839751832,24.0408745931574,1.36038440060569e-06,1.2500425692442e-05,ENSG00000204310,-0.803760363186174,6.72191984121027,31.2403061202408,5.68067042067231e-08,6.51710486630607e-07,ENSG00000204310,3,4,4,4,3,NA,4,3,3,3,cis,TRUE,Towards UnRx cis,deepskyblue4
AGPAT5,0.99082916657866,6.14889769471556,33.3501777841614,1.51996907101396e-08,2.1331653161738e-07,ENSG00000155189,0.548667022685817,6.66206279236676,17.016454389793,4.05906817185681e-05,0.00024212695927884,ENSG00000155189,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
AGPS,0.852325537800586,6.38467538585718,29.1254753820451,1.14851907341821e-07,1.34917299237263e-06,ENSG00000018510,0.655275422928196,6.79923800436664,27.9378906853177,1.58262944434789e-07,1.65312210955465e-06,ENSG00000018510,NA,4,NA,4,4,4,4,4,4,4,unkn,TRUE,0,0
AHCYL1,-0.948232622289834,7.30845983316795,74.7100314860289,1.22865174130613e-16,6.67270361831894e-15,ENSG00000168710,-0.598758541172955,7.48616714219553,41.4496350942017,1.99129473062019e-10,3.54139553579441e-09,ENSG00000168710,2,3,3,3,2,3,3,3,NA,2,cis,TRUE,Towards UnRx cis,deepskyblue4
AIDA,0.669352823186675,6.4960485930033,21.5089238680885,4.73962656614515e-06,3.75592942003503e-05,ENSG00000186063,0.479463337280181,6.89685124973856,17.0604753254513,3.96781564939152e-05,0.000236979151893746,ENSG00000186063,4,6,6,4,5,NA,4,NA,NA,5,trans,TRUE,Towards UnRx trans,deepskyblue
