gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,cnchange.x,color.x,mlog10FDR.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,cnchange.y,color.y,mlog10FDR.y,A,B,C,D,E,F,G,H,I,J,K,ct,col,label,color
LSM8,0.920870403714203,7.54718165842612,50.6783468953829,5.55360940807282e-12,8.46816111711261e-11,ENSG00000128534,-0.93092751739334,blue,10.0722108875908,1.31254561390949,7.32076418932757,143.988926182769,7.70616230735861e-30,2.99495426623276e-28,ENSG00000128534,0,black,27.523609805019,3,3,3,3,3,3,4,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
LSMEM1,-1.08450468598532,6.51601094591796,28.4984387292456,3.84780047674971e-07,2.89950912807274e-06,ENSG00000181016,-1.09558720106296,blue,5.53767551969198,-0.812207001417867,6.5182757768716,20.5166114815257,1.12755685816094e-05,4.97731061658238e-05,ENSG00000181016,0,black,4.30300525560753,3,3,3,3,3,3,4,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
LURAP1L,-0.816186163465067,6.6094790050262,15.7006503543587,8.87782610221738e-05,0.00040051043091308,ENSG00000153714,0.029190264043255,blue,3.39738616864591,-0.73773462733186,6.64773976977881,14.4595336893765,0.000158090229613379,0.00056027959274108,ENSG00000153714,0,black,3.25159519570367,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
LYN,-1.08163745271545,6.78866280759718,31.38265756621,4.09801774363108e-08,3.65705592651686e-07,ENSG00000254087,-0.89130638086655,blue,6.43686839804534,-0.444196568434597,6.6870198358665,6.4126197921924,0.0115891305649832,0.0257062891274548,ENSG00000254087,1,black,1.5899606121081,2,2,2,2,1,2,3,2,2,2,2,cis,TRUE,Towards UnRx cis,deepskyblue4
MACROD1,-1.23496243932591,6.81133958956315,48.6209651298234,1.40238522955058e-11,2.03424643971888e-10,ENSG00000133315,-0.02658521321889,blue,9.69159643542172,-1.19984772957974,6.87625045385852,53.43946100248,8.70848156259231e-13,1.04684394353993e-11,ENSG00000133315,0,black,10.9801180551988,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MAML2,1.82093452365724,6.93097207247787,125.769874871312,2.23755847905498e-25,1.06988444313332e-23,ENSG00000184384,0.0777796730919702,blue,22.9706631273799,1.67357539291959,6.84748561126345,151.946841753848,3.13168184202425e-31,1.29386422770479e-29,ENSG00000184384,0,black,28.8881112941868,3,3,3,3,3,3,3,3,3,3,3,trans,TRUE,Towards UnRx trans,deepskyblue
MAP3K8,-0.708768819200927,7.06035678957023,14.5442524779116,0.000159952992852893,0.000676307796200061,ENSG00000107968,0.021229427970328,blue,3.16985560617639,-0.404484448105644,7.01280659206674,5.67853045586451,0.0174889618659791,0.0370973076398613,ENSG00000107968,0,black,1.43065760843296,1,1,1,1,1,1,1,1,1,1,1,trans,TRUE,Towards UnRx trans,deepskyblue
MDH2,-0.816697789951864,8.92436055212751,76.5272850023614,7.37579418890856e-17,1.92366672684464e-15,ENSG00000146701,0.12928704688889,blue,14.715870166825,-0.759537033885236,8.98220156068369,105.702429664418,6.39829694373218e-23,1.70596452232301e-21,ENSG00000146701,0,black,20.7680300047743,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MDK,1.30275281159556,9.3855066790192,108.56094853171,1.67256194538819e-22,6.57647960861773e-21,ENSG00000110492,0.05847265590019,blue,20.1820065221437,1.53578833588121,9.08249489859039,206.369698082404,2.36709312444269e-40,1.30789024924026e-38,ENSG00000110492,0,black,37.8834286980218,2,2,2,2,2,2,2,2,2,2,2,trans,TRUE,Towards UnRx trans,deepskyblue
MFSD3,-1.02399846851013,7.5687042314409,61.6635204765921,4.29793154910443e-14,8.51452117119257e-13,ENSG00000167700,-0.15507932330833,blue,12.0698397703151,-1.06532944045621,7.69452277421961,77.9089239594911,1.2195531587389e-17,2.26891309775927e-16,ENSG00000167700,0,black,15.6441821378243,3,3,NA,3,2,3,2,2,3,3,2,trans,TRUE,Towards UnRx trans,deepskyblue
