,gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction,patient,passage,group
135,ARHGEF12,ENSG00000196914,0.111919826797949,0.453332232621804,1.04477031001386,7.8940374536575e-79,cis,Activated,Pt4,X5,1
136,ARHGEF26,ENSG00000114790,-0.20989842824911,0.16247171219921,-0.658554777002174,8.68386545034473e-34,trans,Repressed,Pt4,X5,1
137,ARHGEF40,ENSG00000165801,-0.243855976071446,0.102363439458004,0.572607337040688,3.84151367645012e-21,trans,Activated,Pt4,X5,1
138,ARID4A,ENSG00000032219,0.00265026943346992,0.989560252416397,0.649747987156861,1.36504052751222e-31,trans,Activated,Pt4,X5,1
139,ARID4B,ENSG00000054267,-0.0612552473520827,0.513965708808587,0.647586748238647,9.20162016664186e-77,trans,Activated,Pt4,X5,1
140,ARIH1,ENSG00000166233,-0.0287233739322653,0.863760097749478,0.877570118230488,2.20089815575683e-66,cis,Activated,Pt4,X5,1
142,ARL17A,ENSG00000185829,0.225694440136977,0.135269044003266,1.48782911833952,7.00838716576763e-132,cis,Activated,Pt4,X5,1
143,ARL2BP,ENSG00000102931,-0.140719958146722,0.248446503734761,0.715009128889833,3.68699272132111e-50,trans,Activated,Pt4,X5,1
144,ARL4C,ENSG00000188042,0.0293593902654285,0.878593968574511,1.56893738795949,1.8893604318656e-126,trans,Activated,Pt4,X5,1
145,ARNT2,ENSG00000172379,0.219494842478991,0.188207002578249,0.992364749297638,3.78103801351827e-55,cis,Activated,Pt4,X5,1
146,ARPC2,ENSG00000163466,-0.0709514332695358,0.315000015861388,0.630003527915039,8.40154565294158e-112,trans,Activated,Pt4,X5,1
147,ASAP1,ENSG00000153317,0.0621833063227629,0.657147968341055,1.36506453387474,2.65465961539046e-149,cis,Activated,Pt4,X5,1
148,ASB1,ENSG00000065802,-0.0978325085793564,0.610012957125275,-0.849676404903806,1.51331204048234e-49,trans,Repressed,Pt4,X5,1
149,ASB7,ENSG00000183475,0.0511725622293267,0.781424613957839,0.66406399211668,4.31091858316358e-25,cis,Activated,Pt4,X5,1
150,ASL,ENSG00000126522,0.0504498847078488,0.784335779422917,0.863031823287894,2.57568556819225e-42,cis,Activated,Pt4,X5,1
151,ASPH,ENSG00000198363,-0.169807613878623,0.120727630642111,0.689783468860466,6.28056922526887e-52,trans,Activated,Pt4,X5,1
152,ASXL1,ENSG00000171456,0.140627173247829,0.260518650156559,0.590136129469314,7.98369045141542e-38,cis,Activated,Pt4,X5,1
153,ATAD2,ENSG00000156802,0.253088492068872,0.107871959655983,1.45289795280707,3.55859548504685e-112,cis,Activated,Pt4,X5,1
154,ATF2,ENSG00000115966,-0.0099380101924428,0.973589359858255,0.673126792472022,5.5056784677332e-34,cis,Activated,Pt4,X5,1
