gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,direction
SF3B3,ENSG00000189091,0.06491441330097,0.691433189572928,0.868259357130866,8.70634608090211e-19,Activated
SGO1,ENSG00000129810,0.216480908204296,0.277261479029738,0.800454801820851,5.45769850487319e-08,Activated
SH2D4A,ENSG00000104611,0.190559073718377,0.374640987926309,-0.502353604815148,0.000526605464004476,Repressed
SHANK2,ENSG00000162105,-0.108223700823118,0.59655410973208,-0.548136321677695,1.44711445839502e-05,Repressed
SHOC2,ENSG00000108061,0.121274461054102,0.569047661901416,-0.56622531840803,1.42279176017263e-05,Repressed
SIKE1,ENSG00000052723,0.0559392616931106,0.782294501513055,-0.553410603323752,1.80715459756599e-07,Repressed
SKA3,ENSG00000165480,0.151687033271509,0.485833252407687,0.682874657815938,3.74861137215617e-07,Activated
SLC12A8,ENSG00000221955,-0.164787803978813,0.381157794550071,-0.802429746500726,4.21471891855835e-11,Repressed
SLC20A2,ENSG00000168575,-0.00862816600516933,0.967900255371997,-0.664102101054274,3.30649978291327e-09,Repressed
SLC25A25,ENSG00000148339,-0.237169273588797,0.199529443022933,-0.537953745743268,0.0003090566169367,Repressed
SLC2A12,ENSG00000146411,-0.0679709930029388,0.872471006574124,0.805470506619494,1.33138179336492e-08,Activated
SLC2A4RG,ENSG00000125520,-0.02380032406413,0.892543295647842,0.551764904416536,1.88428563598926e-09,Activated
SLC30A7,ENSG00000162695,0.0432135710641188,0.858659039510296,-0.698718923637826,3.46689018305056e-07,Repressed
SLC35A3,ENSG00000117620,-0.207455492525421,0.228841148980946,-0.712213712614282,2.55867859122562e-09,Repressed
SLC7A6OS,ENSG00000103061,0.13983156507873,0.435657706600388,0.996354565634153,5.62221956755828e-17,Activated
SLCO3A1,ENSG00000176463,0.0440729852553287,0.840980364367801,-0.566893435016658,1.30797056415518e-07,Repressed
SLCO4C1,ENSG00000173930,-0.00188702949230638,0.99778210284825,0.535404100972851,0.00134677174147926,Activated
SLIRP,ENSG00000119705,0.000620173087516745,0.99902315116668,-0.512261708780527,6.98207288018135e-11,Repressed
SMC4,ENSG00000113810,0.00575217719290504,0.984657687900509,0.550916717645571,1.22001336664597e-05,Activated
SMIM19,ENSG00000176209,-0.147152406831889,0.278227042673849,-0.941090376407578,3.03854215920727e-28,Repressed
SMIM22,ENSG00000267795,-0.207670206992453,0.116248760209486,-1.40523472604321,5.05043191017745e-58,Repressed
