gene_symbol,ensembl_gene_id,TvsH.logFC,TvsH.FDR,TvsU.logFC,TvsU.FDR,cistrans,direction
C11orf74,ENSG00000166352,0.620366167126071,0.00423090951748234,-0.185991676329091,0.528003070186,trans,Away from UnRx
C1D,ENSG00000197223,0.509782039259592,0.00188023667620364,0.0132528484687057,0.976180710584521,trans,Towards UnRx
C1orf115,ENSG00000162817,1.2995553528237,2.42252530650702e-09,0.945319180963832,0.000570201118530169,trans,Towards UnRx
C1orf53,ENSG00000203724,0.765612820454191,0.0021024098002048,0.503874064655204,0.0971510917428368,trans,Towards UnRx
C2orf69,ENSG00000178074,0.602944308169167,0.00246386079892891,0.465675924220402,0.0515734768681029,trans,Towards UnRx
C3,ENSG00000125730,1.20043939570576,2.22321831101883e-08,0.612110030319875,0.0100518104126014,trans,Towards UnRx
C5orf46,ENSG00000178776,-1.14120611960711,0.000126298258009973,-1.90683066849878,7.02955300171774e-11,trans,Towards UnRx
C8orf33,ENSG00000182307,-0.631251964744487,1.10992400167672e-05,0.514563855366841,0.00572507635847233,trans,Away from UnRx
CAB39,ENSG00000135932,0.555961218253285,0.00478281685122215,0.197596857930423,0.470019301832035,trans,Towards UnRx
CALB2,ENSG00000172137,-1.56414035681272,5.41345006430713e-14,-0.867915356392718,0.000527013786238664,trans,Towards UnRx
CALM3,ENSG00000160014,-0.506292096783348,0.00287223664045621,-0.395422579647403,0.0392027760558504,trans,Towards UnRx
CALM3,ENSG00000160014,-0.506292096783348,0.00287223664045621,-0.395422579647403,0.0392027760558504,trans,Towards UnRx
CALML5,ENSG00000178372,0.696296375249563,0.00362205856280675,0.78259484916643,0.00414823966726662,trans,Towards UnRx
CAPZA2,ENSG00000198898,0.802008923271119,1.14114394782426e-13,-0.00343669563939944,0.993751331630824,trans,Away from UnRx
CASP2,ENSG00000106144,0.811425797608054,0.00013977524551159,1.28227068899127,2.56982172338932e-07,trans,Towards UnRx
CAVIN1,ENSG00000177469,-1.58868903273075,4.69330231258025e-12,-0.0835899855111482,0.890343929631557,trans,Towards UnRx
CBR4,ENSG00000145439,1.04606915472607,1.08738506120176e-06,0.264581454775334,0.406485253437766,trans,Towards UnRx
CCDC107,ENSG00000159884,-0.508429634911979,0.00824096299748962,-0.567603886931873,0.0081077807327952,trans,Towards UnRx
CCDC71L,ENSG00000253276,0.881131549317794,0.000175942976044165,0.996060081642735,0.00018630983875049,trans,Towards UnRx
CCDC88A,ENSG00000115355,-1.16117659505911,5.36850959112778e-07,-0.106560658570035,0.792278123442437,trans,Towards UnRx
CCL20,ENSG00000115009,1.02329777760784,0.00280990639748934,0.776586454956675,0.0590306032986741,trans,Towards UnRx
CCL5,ENSG00000271503,1.55643006898052,2.9307310116938e-06,2.14249652968513,8.69854856761587e-08,trans,Towards UnRx
CCNDBP1,ENSG00000166946,0.569073217403665,0.0036648868537507,0.473132160835222,0.0351990352729106,trans,Towards UnRx
CD164,ENSG00000135535,0.806765116148865,3.78628186813685e-11,0.262640511191268,0.0763271026294287,trans,Towards UnRx
CD46,ENSG00000117335,0.541945240452264,1.54809928894547e-05,0.56719197354353,1.42762585989673e-06,trans,Towards UnRx
CD47,ENSG00000196776,0.639694028340083,4.26532173047071e-07,0.330432430322366,0.0413877740189859,trans,Towards UnRx
