gene_symbol,logFC.x,logCPM.x,F.x,PValue.x,FDR.x,ensembl_gene_id.x,logFC.y,logCPM.y,F.y,PValue.y,FDR.y,ensembl_gene_id.y,A,B,C,D,E,G,H,R,ct,col,label,color
NDUFV2,0.0372309465700397,7.90657815969596,0.862475349915865,0.353091784678906,0.531977166865132,ENSG00000178127,-1.28969114017063,7.98036010778626,960.625524763402,1.71072058921024e-187,1.58481155384436e-185,ENSG00000178127,1,1,2,2,2,2,2,1,cis,FALSE,Repressed cis,deepskyblue4
NEAT1,0.0164349821110161,7.45883029744224,0.0799346681855104,0.815884805674614,0.896698667325053,ENSG00000245532,1.01868990698736,7.26097412408423,178.769235445748,7.63727659272476e-40,6.31711878169662e-39,ENSG00000245532,3,3,3,3,3,3,2,3,cis,TRUE,Activated cis,darkred
NEDD8,-0.0206711722635513,8.82804939133342,0.705302766218125,0.401047799023122,0.577982474925424,ENSG00000129559,-1.00451790149731,8.94996606068003,1172.12198174941,4.28167510293176e-223,5.83315266964116e-221,ENSG00000129559,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
NEK1,0.0612933017299263,7.6211493799885,1.53363048819596,0.263573915858711,0.434843322872193,ENSG00000137601,0.691293235086195,7.44446954389969,107.386848727445,8.04682627809649e-25,4.00568504246566e-24,ENSG00000137601,2,2,2,2,2,2,2,3,trans,TRUE,Activated trans,coral2
NEK9,0.0352881058915063,7.36981353433101,0.654204134196178,0.553752596059636,0.711008876609832,ENSG00000119638,-0.556352234940976,7.21804750882225,100.813042833751,8.36557563771353e-16,2.73846970698863e-15,ENSG00000119638,2,2,2,2,2,2,2,2,trans,FALSE,Repressed trans,deepskyblue
NEO1,-0.0291268452389418,7.52923627868294,0.369338715587483,0.543392574574726,0.700795265287061,ENSG00000067141,0.581434394384282,7.34348819080303,78.2312637861523,4.66555893145563e-18,1.71175199766356e-17,ENSG00000067141,NA,NA,NA,NA,2,2,2,NA,unkn,FALSE,0,0
NETO2,-0.0623529499162502,7.6556709594022,1.69959098382816,0.192401558032975,0.35218230241042,ENSG00000171208,-0.534263174950721,7.54988379881511,90.6124008811876,3.07186825640085e-21,1.30780273562948e-20,ENSG00000171208,2,2,2,2,2,2,2,2,trans,TRUE,Repressed trans,deepskyblue
NEXMIF,0.0309751042238475,7.39572594279536,0.381141976194519,0.668616420272931,0.796818469411292,ENSG00000050030,0.571734359226759,7.20855161864316,86.9133198149691,3.05612385609774e-14,9.25831635150079e-14,ENSG00000050030,1,1,1,1,1,1,1,1,trans,TRUE,Activated trans,coral2
NFAT5,-0.040375144293477,7.47067953283453,0.699799226696519,0.40380354738279,0.580831350611248,ENSG00000102908,0.668824935813178,7.27915401430175,101.096650460902,2.4124378674712e-20,9.83663045961847e-20,ENSG00000102908,2,2,2,2,3,3,2,2,trans,FALSE,Activated trans,coral2
NFE2L1,0.0471606759258462,7.60953148089374,0.988751565462058,0.320095861946834,0.4952296251129,ENSG00000082641,0.788412721543247,7.42709479947188,144.913276946303,9.25647339638753e-33,6.14709459097735e-32,ENSG00000082641,4,NA,3,3,3,3,3,NA,cis,TRUE,Activated cis,darkred
NFIL3,0.0144674172890319,7.49624319010514,0.0890135029492743,0.765447458409341,0.862805785848179,ENSG00000165030,0.777563184159644,7.30581554828772,129.855431764215,8.9011092364339e-28,5.02497720696671e-27,ENSG00000165030,4,NA,4,4,5,4,4,4,trans,TRUE,Activated trans,coral2
NFS1,0.0187653055993234,7.56507875223513,0.17039061167463,0.679782609180309,0.80416359159853,ENSG00000244005,-0.557909233148021,7.45499267773897,98.8000837642838,5.44992424189727e-23,2.51309597695054e-22,ENSG00000244005,4,4,NA,3,3,3,2,4,cis,FALSE,Repressed cis,deepskyblue4
NFYC,0.0944225218905193,7.70177484976498,4.32542729527003,0.0375978641762958,0.106477790922116,ENSG00000066136,-0.751181211686733,7.65196678742823,216.163615439451,1.37981796447808e-47,1.44763687688844e-46,ENSG00000066136,3,3,NA,3,3,3,3,3,trans,FALSE,Repressed trans,deepskyblue
NHP2,0.0494862027785598,8.53697894430038,2.78342325239578,0.0953070706808812,0.212520406591211,ENSG00000145912,-0.828685250622873,8.61434085689159,558.058405518258,5.95180494089325e-115,2.42896568160507e-113,ENSG00000145912,2,2,2,2,2,2,2,2,trans,FALSE,Repressed trans,deepskyblue
NIFK,-0.0410354768527279,8.22533951523168,1.36569289646981,0.24260905587107,0.411319190377521,ENSG00000155438,-0.652551620625277,8.214433230617,250.364947143765,1.34399071351473e-54,1.71497657988987e-53,ENSG00000155438,3,3,3,3,3,3,3,3,trans,TRUE,Repressed trans,deepskyblue
